Dimensión,Subcategoria,Indicador,Dato,Unidad de medida,Año,Fuente
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Porcentaje del área departamental de bosque que se encuentra en el municipio,0.16,Porcentaje,2016,DNP a partir de información del IDEAM
Ambiente,"Biodiversidad y servicios ecosistémicos: Bosque y deforestación
",Porcentaje del área departamental deforestada que ocurrió en el municipio,0,Porcentaje,2016,DNP a partir de información del IDEAM
Ambiente,"Gestión del riesgo: Inversión en gestión del riesgo
",Conocimiento del riesgo,0,Miles de pesos constantes,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Inversión en gestión del riesgo
",Reducción del riesgo,156889,Miles de pesos constantes,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Inversión en gestión del riesgo
",Manejo de desastres,185884,Miles de pesos constantes,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Inversión en gestión del riesgo
",Fortalecimiento Institucional,0,Miles de pesos constantes,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Inversión en gestión del riesgo
",Total en gestión de desastres,342773,Miles de pesos constantes,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Porcentaje de inversión en gestión del riesgo por proceso
",Porcentaje en conocimiento del riesgo,0,Porcentaje,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Porcentaje de inversión en gestión del riesgo por proceso
",Porcentaje en reducción del riesgo,45.77,Porcentaje,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Porcentaje de inversión en gestión del riesgo por proceso
",Porcentaje en manejo de desastres,54.23,Porcentaje,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Porcentaje de inversión en gestión del riesgo por proceso
",Porcentaje en fortalecimiento Institucional,0,Porcentaje,2016,DNP a partir de información del FUT
Ambiente,"Gestión del riesgo: Amenaza por fenómenos hidrometereológicos
",Área de la entidad territorial amenazada por fenómenos hidrometereológicos,8997.99,Hectáreas,2016,"DNP a partir de información en el IDEAM y SGC
"
Ambiente,"Gestión del riesgo: Amenaza por fenómenos hidrometereológicos
",Área de la entidad territorial no amenazada por fenómenos hidrometereológicos,2200.68,Hectáreas,2016,"DNP a partir de información en el IDEAM y SGC
"
Ambiente,"Gestión del riesgo: Porcentaje de área amenazada por fenómenos hidrometereológicos
",Porcentaje del área de la entidad territorial amenazada por fenómenos hidrometereológicos,80.35,Porcentaje,2016,"DNP a partir de información en el IDEAM y SGC
"
Ambiente,"Gestión del riesgo: Porcentaje de área amenazada por fenómenos hidrometereológicos
",Porcentaje del área de la entidad territorial no amenazada por fenómenos hidrometereológicos,19.65,Porcentaje,2016,"DNP a partir de información en el IDEAM y SGC
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Avenidas torrenciales,0,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Movimientos en masa,4,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Erupciones volcánicas,0,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Incendios forestales,2,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Inundaciones,3,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Sequías,0,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Sismos,0,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Eventos de desastres
",Total acumulado de eventos de desastres,9,Eventos,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: avenidas torrenciales,0,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: movimientos en masa,44.44,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: erupciones volcánicas,0,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: incendios forestales,22.22,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: inundaciones,33.33,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: sequías,0,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
Ambiente,"Gestión del riesgo: Porcentaje de eventos de desastres
",Porcentaje de eventos: sismos,0,Porcentaje,2017,"DNP a partir de  información en la Unidad Nacional para la Gestión del Riesgo de Desastres
"
